pm2.5,pm10,time
15.5,20.4,13:41:18
15.6,20.6,13:41:20
15.7,20.6,13:41:20
15.4,20,13:41:21
15.4,19.8,13:41:23
15.3,19.5,13:41:23
15.4,19.6,13:41:24
15.7,20,13:41:26
15.7,20.1,13:41:27
16.1,19.9,13:41:27
16.1,19.8,13:41:29
16.1,19.9,13:41:30
15.9,19.9,13:41:30
16,20,13:41:32
15.9,20.3,13:41:33
16,20.5,13:41:33
15.8,20.6,13:41:35
15.6,20.3,13:41:36
15.8,22.1,13:41:36
15.8,21.9,13:41:38
16.1,22.2,13:41:39
16.3,22.4,13:41:39
16.2,22.3,13:41:41
16.3,22.9,13:41:42
16,22.6,13:41:42
16.2,22.9,13:41:44
16.2,22.9,13:41:45
16.3,23.1,13:41:45
16.4,23.2,13:41:46
16.5,22.2,13:41:48
16.7,22.4,13:41:49
16.6,22.2,13:41:49
16.7,22.5,13:41:51
16.9,21.1,13:41:52
17.2,21.5,13:41:52
17.3,22,13:41:54
17.4,22,13:41:55
17.3,22,13:41:55
17.5,22,13:41:57
17.2,21.6,13:41:58
17.3,24.3,13:41:58
17.3,24.8,13:42:00
17.6,26.1,13:42:01
17.6,27.5,13:42:01
17.7,27.1,13:42:03
17.6,26.8,13:42:04
17.7,26.6,13:42:04
18.1,27.2,13:42:06
17.8,25.3,13:42:07
17.9,25.4,13:42:07
17.8,25.7,13:42:09
17.8,26.8,13:42:10
17.9,27.1,13:42:11
18.1,27.1,13:42:12
18.4,27.6,13:42:13
18.5,29.6,13:42:14
18.6,31.1,13:42:15
18.6,31,13:42:16
18.5,31.3,13:42:17
18.5,30.9,13:42:17
18.6,31.5,13:42:19
18.6,31.6,13:42:20
18.6,31.7,13:42:20
18.6,32,13:42:22
18.5,32,13:42:23
18.6,31.9,13:42:23
18.5,31.9,13:42:25
18.4,31.6,13:42:26
18.3,32.2,13:42:26
18.3,32.2,13:42:28
18.5,30.4,13:42:29
18.4,29.6,13:42:29
18.2,28.4,13:42:31
18.4,28.4,13:42:32
18.3,29.3,13:42:33
18.4,29.4,13:42:34
18.2,29.2,13:42:35
18.1,29.7,13:42:36
18.5,30.2,13:42:37
18.5,30,13:42:38
18.6,29.8,13:42:39
18.5,28.9,13:42:40
18.3,28.6,13:42:41
18.2,29,13:42:42
18,28.8,13:42:43
18,26.8,13:42:44
17.9,25.6,13:42:45
17.9,25.8,13:42:46
17.8,25.4,13:42:47
17.8,25.5,13:42:48
17.7,25,13:42:48
17.9,25.4,13:42:50
17.8,25.1,13:42:51
18,25.1,13:42:51
17.9,25.5,13:42:53
17.7,25.3,13:42:54
17.9,25.5,13:42:54
18,25.6,13:42:56
17.9,25.1,13:42:57
18,25.2,13:42:58
17.8,24.6,13:42:59
17.9,24.8,13:43:00
18,24.7,13:43:01
17.9,23.6,13:43:02
18,23.2,13:43:03
17.9,25.1,13:43:04
18,25.4,13:43:05
18,25.5,13:43:06
17.7,25.1,13:43:07
17.8,25.5,13:43:08
17.8,25.4,13:43:09
17.8,25.3,13:43:10
17.8,25.5,13:43:11
17.7,24.4,13:43:12
17.7,24.4,13:43:13
17.6,24.2,13:43:14
17.9,24.8,13:43:15
18.1,24.9,13:43:16
18.1,24.9,13:43:17
18,24.9,13:43:18
17.8,24.9,13:43:19
17.7,24.8,13:43:20
17.7,24.8,13:43:21
17.3,24.9,13:43:22
17.4,24.2,13:43:23
17.3,24.1,13:43:24
17.2,24,13:43:25
17.2,24.1,13:43:26
17.4,24.5,13:43:27
17.5,24.9,13:43:28
17.4,24.7,13:43:29
17.4,24.7,13:43:30
17.5,25.1,13:43:31
17.6,25.1,13:43:32
17.6,24.9,13:43:33
17.8,23.3,13:43:34
17.8,23.2,13:43:35
17.7,22.3,13:43:36
17.6,22.2,13:43:37
17.7,22.2,13:43:38
17.6,22,13:43:39
17.6,21.7,13:43:40
17.6,22.8,13:43:41
17.8,23.1,13:43:42
17.8,23.1,13:43:43
17.9,23.2,13:43:44
17.5,22.2,13:43:45
17.5,23.2,13:43:46
17.6,23.5,13:43:47
17.7,23.5,13:43:48
17.9,23.6,13:43:49
18,23.4,13:43:50
18.2,23.8,13:43:51
18.4,24,13:43:52
18.5,24.4,13:43:53
18.5,24.3,13:43:54
18.5,24.3,13:43:55
18.3,23.8,13:43:56
17.9,23.1,13:43:57
17.9,22.7,13:43:58
17.9,22.9,13:43:59
17.9,23.2,13:44:00
17.8,22.6,13:44:01
17.6,22.6,13:44:02
17.6,22.5,13:44:03
17.6,22.5,13:44:04
17.5,23.4,13:44:05
17.6,23.5,13:44:06
17.6,23.7,13:44:07
17.5,23.7,13:44:08
17.4,24.2,13:44:09
17.4,24.3,13:44:10
17.5,23.3,13:44:11
17.4,23.2,13:44:12
17.5,24.6,13:44:13
17.4,27,13:44:14
17.4,27.1,13:44:15
17.3,27,13:44:16
17.3,26.8,13:44:17
17.1,26.6,13:44:18
16.9,27.7,13:44:19
16.7,27.3,13:44:20
16.6,26.9,13:44:21
16.6,26.6,13:44:22
16.4,26.4,13:44:23
16.5,26.6,13:44:24
16.7,27.1,13:44:25
16.8,27.4,13:44:26
17,27.6,13:44:27
17.1,28.2,13:44:28
17.1,28,13:44:29
17,27.9,13:44:30
17.1,28.2,13:44:31
17.1,27.9,13:44:32
16.9,27.9,13:44:33
16.9,27.9,13:44:34
17,27.3,13:44:35
16.9,27.5,13:44:36
16.9,27.4,13:44:37
17,27.2,13:44:38
17.2,27.2,13:44:39
17.1,27.1,13:44:40
16.9,26.8,13:44:41
16.8,26.5,13:44:42
16.7,25.5,13:44:43
16.7,24.1,13:44:44
16.6,24,13:44:45
16.6,23,13:44:46
16.4,23,13:44:47
16.7,23.3,13:44:48
16.7,22.4,13:44:49
16.6,23.1,13:44:50
16.5,23,13:44:51
16.4,22.8,13:44:52
16.5,22.5,13:44:53
16.4,22.4,13:44:54
16.2,21.9,13:44:55
16.1,21.5,13:44:56
16,21.3,13:44:57
15.7,20.5,13:44:58
15.5,20.2,13:44:59
15.6,20.3,13:45:00
15.5,20.1,13:45:01
15.5,20.2,13:45:02
15.5,19.9,13:45:03
15.4,19.8,13:45:04
15.3,19.2,13:45:05
15.5,19.2,13:45:06
15.7,19.8,13:45:07
15.6,20,13:45:08
15.6,19.8,13:45:09
15.7,20.1,13:45:10
15.8,20.6,13:45:11
15.9,20.8,13:45:12
15.9,20.4,13:45:13
15.7,19,13:45:14
15.7,19,13:45:15
15.6,19,13:45:16
15.9,19.1,13:45:17
15.7,20,13:45:18
15.6,19.4,13:45:19
15.8,18.8,13:45:20
15.8,19,13:45:21
15.8,18.9,13:45:22
15.7,18.9,13:45:23
15.8,19.3,13:45:24
15.8,21.1,13:45:25
15.8,21.2,13:45:26
15.8,21.1,13:45:27
15.9,21.5,13:45:28
16.2,22.3,13:45:29
16,22,13:45:30
15.9,22,13:45:31
15.9,21.9,13:45:32
15.9,22.3,13:45:33
15.8,22.1,13:45:34
15.8,22.2,13:45:35
15.7,22,13:45:36
15.5,21.3,13:45:37
15.3,20.7,13:45:38
15.3,20.6,13:45:39
15,20.1,13:45:40
14.9,19.8,13:45:41
14.7,19.5,13:45:42
14.6,19.2,13:45:43
14.6,19.3,13:45:44
14.5,19.4,13:45:45
14.5,19.1,13:45:46
14.2,18.9,13:45:47
14.3,17.8,13:45:48
14.3,17.9,13:45:49
14.1,17.8,13:45:50
14,17.9,13:45:51
14.1,18.5,13:45:52
14.3,20.6,13:45:53
14.2,20.7,13:45:54
14.2,19.4,13:45:55
14,19.2,13:45:56
14.1,19.6,13:45:57
14.1,19.5,13:45:58
14,19,13:45:59
14.1,20.3,13:46:00
14.1,20.8,13:46:01
14.3,22.4,13:46:02
14.3,22.7,13:46:03
14.4,22.9,13:46:04
14.4,22.7,13:46:05
14.3,22.5,13:46:06
14.3,22.7,13:46:07
14.4,22.8,13:46:08
14.4,22.9,13:46:09
14.5,23.1,13:46:10
14.6,23.4,13:46:11
14.7,23.6,13:46:12
14.7,23.6,13:46:13
14.9,24.5,13:46:14
14.9,24.3,13:46:15
15,28.2,13:46:16
15,28.3,13:46:17
14.9,29.5,13:46:18
15,29.9,13:46:19
15.1,30.1,13:46:20
15.2,31.2,13:46:21
15.1,32,13:46:22
14.9,29.9,13:46:23
14.8,29.3,13:46:24
14.8,29.2,13:46:25
15.1,31.2,13:46:26
15.2,31.1,13:46:27
15.1,31,13:46:28
15,30.7,13:46:29
14.9,29.6,13:46:30
15,29,13:46:31
14.9,28,13:46:32
14.8,27.4,13:46:33
14.7,27.2,13:46:34
14.8,27.4,13:46:35
14.8,27.6,13:46:36
14.8,27.5,13:46:37
14.7,27.5,13:46:38
14.6,28,13:46:39
14.6,28,13:46:40
14.4,27.8,13:46:41
14.6,27.8,13:46:42
14.6,27.9,13:46:43
14.4,26.9,13:46:44
14.5,27.2,13:46:45
14.2,23.3,13:46:46
14.2,23.2,13:46:47
14.3,22,13:46:48
14.1,21.5,13:46:49
14,21.3,13:46:50
13.9,20,13:46:51
14.1,19.5,13:46:52
14,19.5,13:46:53
13.8,19.2,13:46:54
13.6,18.7,13:46:55
13.4,17.9,13:46:56
13.4,18.6,13:46:57
13.4,18.7,13:46:58
13.4,20,13:46:59
13.6,20.5,13:47:00
13.6,20.6,13:47:01
13.6,20.2,13:47:02
13.8,20.3,13:47:03
13.8,20.3,13:47:04
13.6,20.2,13:47:05
13.6,21.2,13:47:06
13.5,21.1,13:47:07
13.5,21.4,13:47:08
13.6,21,13:47:09
13.6,21,13:47:10
13.7,20.9,13:47:11
13.7,20.8,13:47:12
13.8,21.4,13:47:13
13.7,21.4,13:47:14
13.7,21.3,13:47:15
13.9,23.5,13:47:16
14.1,23.9,13:47:17
13.9,23.8,13:47:18
14.2,25.6,13:47:19
14.1,25.6,13:47:20
14.2,26,13:47:21
14,25.2,13:47:22
14.1,25.4,13:47:23
14.3,25.6,13:47:24
14.5,26.3,13:47:25
14.5,25.1,13:47:26
14.4,24.1,13:47:27
14.4,24,13:47:28
14.3,22.7,13:47:29
14.2,22.4,13:47:30
14.2,22.8,13:47:31
14.1,24.2,13:47:32
13.9,24,13:47:33
14,25,13:47:34
14.2,25.5,13:47:35
14.4,26.3,13:47:36
14.5,26.6,13:47:37
14.6,26.4,13:47:38
14.4,26.1,13:47:39
14.4,26.9,13:47:40
14.3,26.7,13:47:41
14.4,27.9,13:47:42
14.3,27.3,13:47:43
14.4,27.9,13:47:44
14.3,27.8,13:47:45
14.2,26.6,13:47:46
14.2,26.8,13:47:47
14.4,32.5,13:47:48
14.3,30.9,13:47:49
14.5,31.8,13:47:50
14.7,33,13:47:51
14.8,33.6,13:47:52
14.8,34.4,13:47:53
14.9,35.3,13:47:54
14.9,37.5,13:47:55
15,38.9,13:47:56
14.9,40.9,13:47:57
15,41.3,13:47:58
15,41.5,13:47:59
15,41.6,13:48:00
15.1,41.5,13:48:01
15,39.6,13:48:02
15.1,40.9,13:48:03
15.2,41.9,13:48:04
15,41.3,13:48:05
15,40.2,13:48:06
14.9,40.5,13:48:07
14.8,41.3,13:48:08
14.8,41.3,13:48:09
15,40.9,13:48:10
15,41.2,13:48:11
15,41.3,13:48:12
15.1,41.9,13:48:13
15.5,42.9,13:48:14
15.7,43,13:48:15
15.7,44.6,13:48:16
15.6,44.3,13:48:17
15.4,39.4,13:48:18
15.5,41.1,13:48:19
15.4,41.1,13:48:20
15.1,40.5,13:48:21
15.4,41.3,13:48:22
15.4,41.2,13:48:23
15.6,44.2,13:48:24
15.5,42.1,13:48:25
15.8,42.5,13:48:26
15.9,43.9,13:48:27
15.8,44.7,13:48:28
15.9,46.6,13:48:29
16.2,49.6,13:48:30
16.1,50.1,13:48:31
16.3,52,13:48:32
16.4,54.2,13:48:33
16.4,57,13:48:34
16.4,58.2,13:48:35
16.3,58.4,13:48:36
16.4,58.1,13:48:37
16.6,61.1,13:48:38
16.6,61.6,13:48:39
16.4,61.6,13:48:40
16.4,62.4,13:48:41
16.2,61.5,13:48:42
16.3,61.8,13:48:43
15.8,60.7,13:48:44
15.8,62.3,13:48:45
15.8,59.9,13:48:46
15.8,59.8,13:48:47
15.7,59,13:48:48
15.4,57.6,13:48:49
15.4,56.5,13:48:50
15.5,56.1,13:48:51
15.3,55.2,13:48:52
15.2,55.1,13:48:53
14.9,52.8,13:48:54
14.8,52.2,13:48:55
14.5,51.6,13:48:56
14.5,48.6,13:48:57
14.5,48.1,13:48:58
14.5,49,13:48:59
14.3,45.9,13:49:00
14.2,45.3,13:49:01
14.3,43.9,13:49:02
14.1,42,13:49:03
14,39.3,13:49:04
14,40.3,13:49:05
14,40.4,13:49:06
14.1,40.9,13:49:07
14.1,37.5,13:49:08
14.5,51.9,13:49:09
14.7,53.5,13:49:10
14.7,54.7,13:49:11
14.9,56.6,13:49:12
14.7,56.1,13:49:13
14.8,56,13:49:14
14.9,54.9,13:49:15
15,56,13:49:16
15.2,59.8,13:49:17
15.3,59.8,13:49:18
15.5,59.4,13:49:19
15.6,60.6,13:49:20
15.6,60,13:49:21
15.6,61.5,13:49:22
15.7,63.8,13:49:23
15.8,64.2,13:49:24
16.2,68.2,13:49:25
16.3,69.5,13:49:26
16.4,69.7,13:49:27
16.4,70.6,13:49:28
16.5,71.3,13:49:29
16.5,71.2,13:49:31
16.6,71.5,13:49:31
16.7,72.2,13:49:32
17,72,13:49:34
16.9,70.2,13:49:34
17,71.3,13:49:35
17,71.7,13:49:37
17.1,73,13:49:37
17,74.2,13:49:38
16.7,59.9,13:49:40
16.8,61,13:49:40
16.8,58.7,13:49:41
16.8,57.4,13:49:43
16.7,57.7,13:49:43
16.9,58.2,13:49:44
17,59.7,13:49:46
16.9,59.2,13:49:46
16.8,56,13:49:47
16.9,56.4,13:49:49
16.7,56.6,13:49:49
16.7,57.4,13:49:50
16.9,57.8,13:49:52
16.8,56.1,13:49:53
16.9,53.7,13:49:53
16.8,51.8,13:49:55
16.5,50.8,13:49:56
16.4,48.8,13:49:56
16.3,48.3,13:49:58
16.3,47,13:49:59
16.1,44,13:49:59
15.8,44.7,13:50:00
15.7,44,13:50:02
15.5,43.2,13:50:02
15.2,42.3,13:50:03
15.3,42.3,13:50:05
15,39.5,13:50:05
15,40,13:50:06
14.8,38.3,13:50:08
14.9,36.9,13:50:08
14.6,36.1,13:50:09
14.4,33.1,13:50:11
14.4,33.3,13:50:11
14.4,33.1,13:50:12
14.5,33.9,13:50:14
14.3,33.4,13:50:14
14,31.3,13:50:15
14,30.7,13:50:17
13.9,30.8,13:50:18
13.9,32.8,13:50:18
13.9,34.4,13:50:20
13.7,32.4,13:50:21
13.4,34.1,13:50:21
13.3,33.6,13:50:23
13.1,34.7,13:50:24
13,35.7,13:50:24
13,33.9,13:50:26
12.9,33.6,13:50:27
13,33.7,13:50:27
12.8,33.4,13:50:29
12.8,32.8,13:50:30
12.9,32.2,13:50:30
13,32.8,13:50:32
13.1,36,13:50:33
13.2,36.3,13:50:34
13.1,37.8,13:50:35
13.1,37.3,13:50:36
13.1,36.1,13:50:37
13.3,36.1,13:50:38
13.4,35.9,13:50:39
13.6,36.3,13:50:40
13.9,41.3,13:50:41
13.8,42.4,13:50:42
13.9,42.3,13:50:43
14,43.4,13:50:44
14.3,44,13:50:45
14.3,44.2,13:50:46
14.4,44.6,13:50:46
14.8,54.2,13:50:48
14.8,51.9,13:50:49
15.2,50.8,13:50:49
15.5,51.1,13:50:51
15.8,52,13:50:52
16.1,55.1,13:50:53
16.4,54.4,13:50:54
16.9,54.7,13:50:55
17.2,55.7,13:50:56
17.8,56.8,13:50:57
18.1,57.3,13:50:58
18.5,58,13:50:59
18.9,58.5,13:51:00
19.1,59.2,13:51:01
19.4,59.1,13:51:02
19.9,57.3,13:51:03
20.3,59,13:51:04
20.7,58.5,13:51:05
21,58.9,13:51:06
21.4,59.2,13:51:07
21.6,59.7,13:51:08
22,60.5,13:51:09
22.6,63,13:51:10
22.5,59.2,13:51:11
22.8,58.3,13:51:12
22.9,60.8,13:51:13
23.1,59.1,13:51:14
23.1,60,13:51:15
23,60.2,13:51:16
23.1,60.6,13:51:17
22.9,50.6,13:51:18
23,50.8,13:51:19
22.6,50.2,13:51:20
22.8,50.6,13:51:21
22.7,49.2,13:51:22
22.7,46.5,13:51:23
22.7,46.8,13:51:24
22.8,47.6,13:51:25
22.5,48.3,13:51:26
22.3,49,13:51:27
22.4,49.7,13:51:28
22.6,50.1,13:51:29
22.5,50.2,13:51:30
22.6,52.4,13:51:31
22.4,53,13:51:32
22.1,52.5,13:51:33
21.9,51.1,13:51:34
21.7,50.4,13:51:35
21.7,53.2,13:51:36
21.9,55.4,13:51:37
22.1,57.8,13:51:38
22,59.5,13:51:39
21.7,58,13:51:40
21.9,58.5,13:51:41
22,61,13:51:42
22.1,58.9,13:51:43
22,59.9,13:51:44
22.1,59.6,13:51:45
22.4,60.2,13:51:46
22.6,60.6,13:51:47
22.9,62.4,13:51:48
23.3,63.7,13:51:49
23.4,66.3,13:51:50
23.3,66.1,13:51:51
23.4,65.1,13:51:52
23.3,66.6,13:51:53
23.2,66.3,13:51:54
23.2,66.2,13:51:55
23.6,64.3,13:51:56
23.7,63.6,13:51:57
23.5,64.3,13:51:58
23.3,64.6,13:51:59
23.3,64.3,13:52:00
23,61.5,13:52:01
23,61.6,13:52:02
22.9,61.2,13:52:03
23.2,61.4,13:52:04
23.3,61.8,13:52:05
23.3,61.1,13:52:06
23.1,58.6,13:52:07
22.8,58,13:52:08
22.6,56.4,13:52:09
22.8,57.6,13:52:10
22.7,56.6,13:52:11
22.7,54.6,13:52:12
22.5,54,13:52:13
22.5,52.5,13:52:14
22.3,52.3,13:52:15
22.5,53.1,13:52:16
22.3,53,13:52:17
22.2,51.6,13:52:18
22,53.1,13:52:19
22.1,51.8,13:52:20
22.2,53.3,13:52:21
22.2,53.2,13:52:22
22.2,52.7,13:52:23
22.3,52.6,13:52:24
22.1,51.3,13:52:25
22.1,53.7,13:52:26
22.2,55.2,13:52:27
22.2,54.1,13:52:28
22.1,54.1,13:52:29
22.3,54.8,13:52:30
22.5,58.1,13:52:31
22.6,57.4,13:52:32
22.5,57.3,13:52:33
22.3,58,13:52:34
22.1,57.8,13:52:35
22.3,57.8,13:52:36
22.1,59.3,13:52:37
22,57.4,13:52:38
22.1,57.7,13:52:39
21.7,56.2,13:52:40
22,58.4,13:52:41
21.8,58.8,13:52:42
21.8,60.3,13:52:43
21.7,62,13:52:44
21.7,62.8,13:52:45
21.4,61.9,13:52:46
21.3,62,13:52:47
21.5,63.2,13:52:48
21.6,61.2,13:52:49
21.5,60.2,13:52:50
21.4,58.8,13:52:51
21.5,59.6,13:52:52
21.5,62.1,13:52:53
21.3,61.6,13:52:54
21.3,63.5,13:52:55
21.2,61.1,13:52:56
20.7,58.7,13:52:57
20.8,59.7,13:52:58
20.7,58.8,13:52:59
20.3,58.2,13:53:00
20.1,56.5,13:53:01
20.1,57.2,13:53:02
20,58.2,13:53:03
19.9,58.3,13:53:04
20.1,59.1,13:53:05
19.9,57.9,13:53:06
19.7,57.2,13:53:07
19.8,56.7,13:53:08
19.5,55.9,13:53:09
19.3,54.9,13:53:10
19.1,53.2,13:53:11
19.1,52.6,13:53:12
19,51.7,13:53:13
18.9,51.4,13:53:14
19,51.3,13:53:15
18.9,50.6,13:53:16
18.9,50.9,13:53:17
18.6,49,13:53:18
18.5,49.4,13:53:19
18.4,49.4,13:53:20
18.4,49.3,13:53:21
18.4,48.3,13:53:22
18.4,45.3,13:53:23
18.5,45.6,13:53:24
18.3,43.6,13:53:25
18.2,43.3,13:53:26
18.8,44.2,13:53:27
18.8,43.8,13:53:28
19.1,45.7,13:53:29
19.8,47.8,13:53:30
20.2,46.9,13:53:31
20.4,47.8,13:53:32
20.9,47.9,13:53:33
21.6,48.3,13:53:34
21.7,48.6,13:53:35
22,48.6,13:53:36
22.2,47.9,13:53:37
22.4,48.7,13:53:38
22.8,49.9,13:53:39
23.1,50.4,13:53:40
23,50.5,13:53:41
23.3,50.9,13:53:42
23.5,51.2,13:53:43
23.7,50.6,13:53:44
23.9,51.7,13:53:45
24,52.3,13:53:46
24,52,13:53:47
24.3,53.4,13:53:48
24.2,52.7,13:53:49
24.5,54.4,13:53:50
24.6,54.3,13:53:51
24.8,56.1,13:53:52
24.9,56.5,13:53:53
25,56.7,13:53:54
25.3,57.2,13:53:55
25.3,59.6,13:53:56
24.9,59.3,13:53:57
24.9,59,13:53:58
24.9,57.9,13:53:59
24.3,55.8,13:54:00
24.2,56.8,13:54:01
24.1,55.8,13:54:02
23.9,57.1,13:54:03
23.5,55.7,13:54:04
23.3,54.8,13:54:05
23.2,54.3,13:54:06
23.2,54.3,13:54:07
23.1,55,13:54:08
23,55.1,13:54:09
22.9,55.1,13:54:10
23.3,56.8,13:54:11
23.2,57.2,13:54:12
23.4,57.9,13:54:13
23.6,59.4,13:54:14
23.5,58.9,13:54:15
23.4,58.3,13:54:16
23.5,59.6,13:54:17
23.6,64.7,13:54:18
23.5,65.7,13:54:19
23.4,65.2,13:54:20
23.3,65.1,13:54:21
23.1,63.5,13:54:22
23.1,64.7,13:54:23
23.1,64.6,13:54:24
22.7,63.2,13:54:25
22.6,61,13:54:26
22.5,62,13:54:27
22.3,61.9,13:54:28
22.3,64.9,13:54:29
22.2,64.8,13:54:30
22,62.9,13:54:31
21.7,63.1,13:54:32
21.4,60,13:54:33
21.2,59.5,13:54:34
21.2,59.4,13:54:35
21.1,58.9,13:54:36
21.1,59.4,13:54:37
20.9,58.8,13:54:38
21.1,58.5,13:54:39
21.2,58.9,13:54:40
20.9,56.6,13:54:41
20.8,57.5,13:54:42
20.5,55.9,13:54:43
20.2,54.5,13:54:44
20.4,55,13:54:45
20.5,55.2,13:54:46
20.3,55.6,13:54:47
20.1,49.9,13:54:48
20.2,49.3,13:54:49
20.2,48.8,13:54:50
20.3,49,13:54:51
20.4,49.5,13:54:52
20.4,47.6,13:54:53
20.5,48.3,13:54:54
20.9,50.6,13:54:55
21.3,50.8,13:54:56
21.5,50.2,13:54:57
21.8,50.8,13:54:58
21.7,47.6,13:54:59
21.9,49.7,13:55:00
21.9,51,13:55:01
22.3,51.3,13:55:02
22.4,51.6,13:55:04
22.8,52.5,13:55:04
22.7,52.3,13:55:05
22.7,52.4,13:55:07
22.7,53,13:55:07
22.7,52.2,13:55:08
22.6,52.6,13:55:10
22.7,53.8,13:55:10
22.9,54.7,13:55:11
22.9,53.2,13:55:13
23,54.9,13:55:13
23,54.8,13:55:14
22.9,52.9,13:55:16
23.1,53,13:55:16
23.2,50.7,13:55:17
23.3,52.3,13:55:19
23.4,52.9,13:55:19
23.3,53.2,13:55:20
23.3,54,13:55:22
23.3,56.5,13:55:22
23.3,58,13:55:23
23.4,58.4,13:55:25
23.4,57.1,13:55:25
23.4,59.4,13:55:26
23.3,58.9,13:55:28
23.4,59.3,13:55:29
23.3,58.7,13:55:29
23.4,58.1,13:55:30
23.6,57.4,13:55:32
23.7,57.6,13:55:32
23.8,58.5,13:55:33
23.5,59,13:55:35
23.4,59.9,13:55:35
23.5,60.9,13:55:36
23.3,59.8,13:55:38
23.4,60.1,13:55:38
23.1,59.2,13:55:39
22.9,58.3,13:55:41
22.6,58.4,13:55:41
22.6,58.8,13:55:42
22.4,58,13:55:44
22.3,57.7,13:55:44
22.4,58.6,13:55:45
22.1,58.4,13:55:47
22.2,58.6,13:55:47
22.2,56.7,13:55:48
22.2,56.9,13:55:50
22.2,57.7,13:55:51
22.5,57.8,13:55:51
22.2,54.5,13:55:53
22.2,53.4,13:55:54
22.2,52.5,13:55:54
22.2,52.4,13:55:56
21.9,50.3,13:55:57
21.9,52.4,13:55:57
21.8,52.2,13:55:59
21.8,52.1,13:56:00
22,51.8,13:56:00
22,51.7,13:56:02
21.9,51.5,13:56:03
22.1,51.4,13:56:03
22.1,50.6,13:56:05
22.4,50.5,13:56:06
22.5,50.8,13:56:06
22.8,51.7,13:56:08
22.8,52.9,13:56:09
23.1,52.9,13:56:10
23.5,54,13:56:11
23.6,53.3,13:56:12
23.6,52.9,13:56:13
23.7,52.4,13:56:14
23.8,52.1,13:56:15
23.6,50.7,13:56:16
23.7,51.5,13:56:16
23.7,51.7,13:56:18
23.9,52.4,13:56:19
23.7,51.6,13:56:19
23.7,50.4,13:56:21
23.8,51.6,13:56:22
24.1,52.2,13:56:22
24,52.2,13:56:24
24,53.3,13:56:25
23.9,53.3,13:56:25
24.1,53.2,13:56:27
23.9,50.8,13:56:28
23.9,51.9,13:56:29
24,51.6,13:56:30
23.8,52.4,13:56:31
23.8,54.2,13:56:32
23.8,54.4,13:56:33
23.5,53.8,13:56:34
23.7,54.7,13:56:35
23.7,57.4,13:56:36
23.5,56.2,13:56:37
23.4,56,13:56:38
23.2,54.1,13:56:39
23.2,55.1,13:56:40
22.9,53.5,13:56:41
22.8,54.3,13:56:42
23,54.4,13:56:43
23,54.2,13:56:44
23,54.1,13:56:45
23.2,55.2,13:56:46
23.2,54.7,13:56:47
23.2,54.9,13:56:48
23.1,54.5,13:56:49
23.1,54,13:56:50
23.1,53.7,13:56:51
22.8,52.2,13:56:52
22.7,52.1,13:56:53
22.8,53,13:56:54
22.8,52.4,13:56:55
22.7,51.8,13:56:56
22.6,51.3,13:56:57
22.8,51.4,13:56:58
22.8,51.8,13:56:59
23,53.6,13:57:00
22.7,51.8,13:57:01
22.6,49.7,13:57:02
22.6,50.8,13:57:03
22.7,52.2,13:57:04
22.7,51.4,13:57:05
22.5,48.7,13:57:06
22.4,49.3,13:57:07
22.5,49.1,13:57:08
22.7,50.7,13:57:09
22.6,49.6,13:57:10
22.8,49.8,13:57:11
22.9,48.7,13:57:12
23,49.2,13:57:13
23,49.3,13:57:14
23.1,50.7,13:57:15
22.8,49.8,13:57:16
23.1,50.7,13:57:17
23,50.1,13:57:18
23.2,51,13:57:19
23.2,51.9,13:57:20
23.2,52.6,13:57:21
23.2,52.9,13:57:22
23.4,54.3,13:57:23
23.3,53.8,13:57:24
23.4,54.7,13:57:25
23.5,56.3,13:57:26
23.8,58.7,13:57:27
23.8,59.1,13:57:28
23.6,56.6,13:57:29
23.6,55.1,13:57:30
23.7,55.6,13:57:31
23.9,56,13:57:32
